Tree,Location,Timestamp,Depth,Moisture,Temperature
FB2,Inner,2023-07-28T17:59:00Z,4,21,20.8
FB2,Inner,2023-07-28T17:59:00Z,5,36.9,21
FB2,Inner,2023-07-28T17:59:00Z,6,27.6,20.8
FB2,Inner,2023-07-28T17:59:00Z,7,NA,20.6
FB2,Inner,2023-07-28T18:59:00Z,1,1.4,21.7
FB2,Inner,2023-07-28T18:59:00Z,2,9.7,21.3
FB2,Inner,2023-07-28T18:59:00Z,3,8.8,20.8
FB2,Inner,2023-07-28T18:59:00Z,4,20.9,20.8
FB2,Inner,2023-07-28T18:59:00Z,5,36.9,20.8
FB2,Inner,2023-07-28T18:59:00Z,6,27.6,20.8
FB2,Inner,2023-07-28T18:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T19:59:00Z,1,1.5,21.6
FB2,Inner,2023-07-28T19:59:00Z,2,9.7,21.5
FB2,Inner,2023-07-28T19:59:00Z,3,8.8,20.8
FB2,Inner,2023-07-28T19:59:00Z,4,21,20.8
FB2,Inner,2023-07-28T19:59:00Z,5,36.9,21
FB2,Inner,2023-07-28T19:59:00Z,6,27.6,20.8
FB2,Inner,2023-07-28T19:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T20:59:00Z,1,1.6,21.5
FB2,Inner,2023-07-28T20:59:00Z,2,9.7,21.5
FB2,Inner,2023-07-28T20:59:00Z,3,8.8,20.8
FB2,Inner,2023-07-28T20:59:00Z,4,21.1,20.8
FB2,Inner,2023-07-28T20:59:00Z,5,37,21
FB2,Inner,2023-07-28T20:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-28T20:59:00Z,7,NA,20.6
FB2,Inner,2023-07-28T21:59:00Z,1,1.6,21.3
FB2,Inner,2023-07-28T21:59:00Z,2,9.7,21.5
FB2,Inner,2023-07-28T21:59:00Z,3,8.8,21
FB2,Inner,2023-07-28T21:59:00Z,4,21.1,20.8
FB2,Inner,2023-07-28T21:59:00Z,5,37,21
FB2,Inner,2023-07-28T21:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-28T21:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T22:59:00Z,1,1.7,21.2
FB2,Inner,2023-07-28T22:59:00Z,2,9.7,21.5
FB2,Inner,2023-07-28T22:59:00Z,3,8.8,21
FB2,Inner,2023-07-28T22:59:00Z,4,21.1,20.8
FB2,Inner,2023-07-28T22:59:00Z,5,37,21
FB2,Inner,2023-07-28T22:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-28T22:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T23:59:00Z,1,1.8,21.1
FB2,Inner,2023-07-28T23:59:00Z,2,9.8,21.5
FB2,Inner,2023-07-28T23:59:00Z,3,8.8,21
FB2,Inner,2023-07-28T23:59:00Z,4,21,20.8
FB2,Inner,2023-07-28T23:59:00Z,5,36.9,20.8
FB2,Inner,2023-07-28T23:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-28T23:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T00:59:00Z,1,1.7,21.1
FB2,Inner,2023-07-29T00:59:00Z,2,9.8,21.3
FB2,Inner,2023-07-29T00:59:00Z,3,8.8,21
FB2,Inner,2023-07-29T00:59:00Z,4,21,20.8
FB2,Inner,2023-07-29T00:59:00Z,5,37,21
FB2,Inner,2023-07-29T00:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T00:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T01:59:00Z,1,1.8,21
FB2,Inner,2023-07-29T01:59:00Z,2,9.8,21.3
FB2,Inner,2023-07-29T01:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T01:59:00Z,4,21.1,20.8
FB2,Inner,2023-07-29T01:59:00Z,5,37,20.8
FB2,Inner,2023-07-29T01:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T01:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T02:59:00Z,1,1.8,21
FB2,Inner,2023-07-29T02:59:00Z,2,9.8,21.3
FB2,Inner,2023-07-29T02:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T02:59:00Z,4,21,20.8
FB2,Inner,2023-07-29T02:59:00Z,5,37,21
FB2,Inner,2023-07-29T02:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T02:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T03:59:00Z,1,1.9,20.8
FB2,Inner,2023-07-29T03:59:00Z,2,9.9,21.3
FB2,Inner,2023-07-29T03:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T03:59:00Z,4,21.1,20.8
FB2,Inner,2023-07-29T03:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T03:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T03:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T04:59:00Z,1,1.9,20.7
FB2,Inner,2023-07-29T04:59:00Z,2,9.9,21.3
FB2,Inner,2023-07-29T04:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T04:59:00Z,4,21.1,20.8
FB2,Inner,2023-07-29T04:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T04:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T04:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T05:59:00Z,1,1.9,20.7
FB2,Inner,2023-07-29T05:59:00Z,2,9.9,21.3
FB2,Inner,2023-07-29T05:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T05:59:00Z,4,21.2,20.8
FB2,Inner,2023-07-29T05:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T05:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T05:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T06:59:00Z,1,1.9,20.7
FB2,Inner,2023-07-29T06:59:00Z,2,10.1,21.2
FB2,Inner,2023-07-29T06:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T06:59:00Z,4,21.1,20.8
FB2,Inner,2023-07-29T06:59:00Z,5,37,21
FB2,Inner,2023-07-29T06:59:00Z,6,27.7,20.8
FB2,Inner,2023-07-29T06:59:00Z,7,NA,20.6
FB2,Inner,2023-07-29T07:59:00Z,1,1.9,20.7
FB2,Inner,2023-07-29T07:59:00Z,2,10.2,21.2
FB2,Inner,2023-07-29T07:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T07:59:00Z,4,21.2,20.8
FB2,Inner,2023-07-29T07:59:00Z,5,37.1,21
FB2,Inner,2023-07-29T07:59:00Z,6,27.8,20.8
FB2,Inner,2023-07-29T07:59:00Z,7,NA,20.7
FB2,Inner,2023-07-29T08:59:00Z,1,1.9,20.8
FB2,Inner,2023-07-29T08:59:00Z,2,10.1,21.2
FB2,Inner,2023-07-29T08:59:00Z,3,8.9,21
FB2,Inner,2023-07-29T08:59:00Z,4,21.1,21
FB2,Inner,2023-07-29T08:59:00Z,5,37.1,21
